"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"12/15/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2926,2248,3810,,,,,,,,,,,,,,,
"12/16/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"12/17/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"12/18/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"12/19/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2528,2050,3116,,,,,,,,,,,,,,,
"12/20/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2874,2269,3641,,,,,,,,,,,,,,,
"12/21/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3329,2530,4381,,,,,,,,,,,,,,,
"12/22/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3088,2295,4156,,,,,,,,,,,,,,,
"12/23/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2754,2142,3541,,,,,,,,,,,,,,,
"12/24/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2801,2192,3579,,,,,,,,,,,,,,,
"12/25/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"12/26/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"12/27/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"12/28/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2059,1985,2136,,,,,,,,,,,,,,,
"12/29/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"12/30/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2138,1909,2393,,,,,,,,,,,,,,,
"12/31/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2291,2045,2566,,,,,,,,,,,,,,,
"01/01/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"01/02/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"01/03/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3288,2390,4523,,,,,,,,,,,,,,,
"01/04/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3386,2441,4695,,,,,,,,,,,,,,,
"01/05/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2282,1977,2633,,,,,,,,,,,,,,,
"01/06/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2355,2144,2587,,,,,,,,,,,,,,,
"01/07/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"01/08/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2741,2250,3338,,,,,,,,,,,,,,,
"01/09/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3045,2146,4320,,,,,,,,,,,,,,,
"01/10/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2661,1997,3547,,,,,,,2305,2066,2571,,,,,,
"01/11/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2414,1984,2937,,,,,,,,,,,,,,,
"01/12/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2368,2138,2622,,,,,,,,,,,,,,,
"01/13/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"01/14/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3200,2181,4694,,,,,,,,,,,,,,,
"10/15/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"10/16/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"10/17/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2698,1720,4233,,,,,,,,,,,,,,,
"10/18/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2348,2102,2624,,,,,,,,,,,,,,,
"10/19/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"10/20/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2539,2282,2826,,,,,,,,,,,,,,,
"10/21/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"10/22/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2208,2049,2378,,,,,,,,,,,,,,,
"10/23/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3039,2370,3895,,,,,,,,,,,,,,,
"10/24/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"10/25/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"10/26/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"10/27/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"10/28/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"10/29/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3073,2328,4055,,,,,,,,,,,,,,,
"10/30/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2391,1528,3739,,,,,,,,,,,,,,,
"10/31/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"11/01/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"11/02/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2932,2181,3941,,,,,,,,,,,,,,,
"11/03/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"11/04/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"11/05/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2919,2427,3511,,,,,,,,,,,,,,,
"11/06/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2738,2142,3501,,,,,,,,,,,,,,,
"11/07/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
